EP Site ID,Latitude,Longitude
PH-PAN-00469,16.001327,120.404622
PH-PAN-00433,16.0451,120.3398833
PH-PAN-00440,16.02993333,120.7461
PH-ILN-00054,17.913643,120.465562
PH-CAG-00011,18.4614,122.1422
PH-ILN-00005,18.5791,120.7852
PH-ILS-00188,17.08156667,120.448
PH-LUN-00379,16.23706667,120.4075
PH-PAN-00392,16.172564,119.861991
PH-PAN-00511,15.951211,120.221553
PH-PAN-00540,15.89848333,120.63295
PH-ISA-00262,16.78143333,121.6946167
PH-ISA-00180,17.1198,121.6224833
PH-NUV-00294,16.64058333,121.3923889
PH-NCR-01762,14.581239,121.060264
PH-CEB-03146,10.37141907,123.9626858
PH-CEB-03231,10.38320608,123.916413
PH-BOH-03213,10.05693333,124.4709333
PH-CEB-03147,10.118377,123.510453
